country,PWID,PWID + Campaign,PWID + Campaign + Prison,PWID + Campaign + Prison + Schools,PWID + Campaign + Prison + Schools + Adults
ROU,-0.23,-0.371,-0.144,-0.063,-0.002
UGA,1.229,1.67,0.005,0.001,0.0
PHL,16.905,23.202,0.57,0.079,0.01
COD,1.884,2.51,3.369,0.0,0.0
BRA,-0.041,-0.071,-0.02,-0.012,-0.001
EST,-0.386,-0.458,-0.212,-0.076,-0.005
NZL,-0.003,-0.003,-0.002,-0.001,-0.001
BGD,-0.06,-0.091,-0.115,-0.021,-0.002
MDG,0.0,-0.0,0.0,0.0,0.0
DZA,-0.018,-0.03,-0.003,-0.001,-0.0
NGA,0.034,0.136,0.077,0.008,0.0
TWN,-0.016,-0.066,-0.004,-0.002,-0.0
CMR,3.121,4.354,-0.019,-0.001,-0.0
JPN,-0.002,-0.003,-0.002,-0.0,-0.0
MAR,-0.005,-0.009,-0.001,-0.001,-0.0
RWA,0.001,0.0,-0.073,-0.02,-0.004
BEL,-0.305,-0.284,-0.074,-0.013,-0.001
ITA,-0.084,-0.097,-0.084,-0.043,-0.002
IRL,-0.377,-0.373,-0.414,-0.074,-0.008
TJK,-0.0,-0.001,-0.0,-0.0,-0.0
PRT,-0.268,-0.584,-0.079,-0.027,-0.001
USA,-0.003,-0.003,-0.008,-0.004,-0.001
IND,-0.018,-0.183,1.329,0.211,0.003
ESP,-0.805,-0.874,-0.048,-0.022,-0.001
LBY,-0.049,0.132,-0.459,-0.083,-0.016
MYS,0.025,0.033,0.015,0.003,0.0
HRV,-0.104,-0.112,-0.07,-0.03,-0.001
GEO,-0.031,-0.033,-0.027,-0.023,-0.006
DOM,-0.103,-0.196,-0.037,-0.015,-0.001
CZE,-0.253,-0.31,-0.075,-0.041,-0.002
VEN,-0.131,1.55,0.032,0.011,-0.0
NPL,-0.003,-0.007,0.013,0.003,0.0
MEX,-0.312,-0.714,-0.092,-0.038,-0.002
CHE,-0.794,-1.003,-0.9,-0.313,-0.021
JOR,-0.003,-0.011,0.001,0.001,0.0
IRQ,34.995,45.228,27.119,0.503,0.012
IDN,4.308,7.552,2.961,0.173,0.019
BEN,1.663,2.089,0.001,0.0,0.0
TCD,3.078,4.873,0.863,0.094,0.006
BTN,-0.095,-0.349,-0.017,-0.003,-0.0
KAZ,-0.001,-0.001,-0.015,-0.004,-0.0
DNK,-0.001,-0.002,-0.001,-0.0,-0.0
GHA,,15.137,1.004,0.14,0.007
GAB,-0.0,-0.0,0.0,0.0,0.0
PNG,-0.0,-0.001,-0.0,-0.0,-0.0
SAU,-0.005,-0.009,-0.0,-0.0,-0.0
KEN,-0.014,1.222,0.031,0.004,0.0
YEM,-0.0,1.724,1.697,0.022,0.001
IRN,-0.0,-0.001,-0.0,-0.0,-0.0
QAT,50.755,63.268,57.328,0.947,0.004
KOR,-0.002,-0.009,-0.004,-0.002,-0.0
RUS,-0.025,-0.031,-0.014,-0.011,-0.001
EGY,-0.051,-0.115,0.048,0.015,-0.0
SVK,-0.004,-0.005,-0.004,-0.002,-0.0
SLV,-0.006,-0.012,-0.004,-0.001,-0.0
UKR,-0.002,-0.001,-0.001,-0.0,-0.0
DEU,-0.193,-0.177,-0.101,-0.042,-0.001
POL,-0.001,-0.001,-0.001,-0.0,-0.0
KHM,10.485,12.189,1.955,0.173,0.028
ARG,6.731,7.293,-0.066,-0.014,-0.002
COL,-0.084,-0.088,-0.021,-0.009,-0.0
MLT,-0.005,-0.006,-0.004,-0.001,-0.0
THA,4.493,6.026,0.322,0.211,0.011
PAK,-0.0,-0.023,-0.008,-0.001,-0.0
ARE,43.05,53.8,53.489,0.595,0.014
BFA,3.062,4.225,1.167,0.023,0.003
LUX,-0.284,-0.311,-0.205,-0.098,-0.005
SYR,1.583,2.093,0.106,-0.0,-0.0
PAN,-0.002,-0.004,-0.0,-0.0,-0.0
GBR,-0.0,-0.001,-0.0,-0.0,-0.0
ARM,-0.001,-0.001,-0.001,-0.0,-0.0
UZB,-0.003,-0.007,-0.0,-0.0,-0.0
LBN,-0.0,-0.002,0.0,0.0,-0.0
AUT,-0.156,-0.11,-0.065,-0.014,-0.001
CUB,-0.001,-0.002,-0.004,-0.003,-0.0
VNM,3.434,4.059,1.722,0.539,0.018
ZAF,-0.001,-0.005,-0.0,-0.0,-0.0
PER,-0.001,-0.002,-0.0,-0.0,-0.0
FIN,-0.018,-0.024,-0.02,-0.003,-0.001
AFG,0.0,-0.0,0.003,0.0,0.0
CHL,-0.0,-0.0,-0.0,-0.0,-0.0
SDN,16.518,20.712,20.658,0.217,0.009
TZA,0.0,0.0,0.0,0.0,0.0
MDA,4.544,3.331,-0.215,-0.084,-0.004
FRA,-0.042,-0.039,-0.03,-0.012,-0.001
AZE,-0.012,-0.022,-0.023,-0.012,-0.001
KGZ,-0.0,-0.001,-0.0,-0.0,-0.0
SVN,-0.001,-0.002,-0.002,-0.001,-0.0
GMB,0.022,4.021,2.211,0.077,0.008
GRC,2.046,1.836,-0.109,-0.039,-0.002
MNG,2.935,2.334,-0.058,-0.014,-0.005
NLD,-0.371,-0.599,-0.024,-0.008,-0.001
LTU,1.714,1.425,-0.001,-0.0,-0.0
ISR,-0.03,0.544,0.05,0.027,0.001
LVA,-0.222,-0.254,-0.071,-0.045,-0.003
TUR,-0.059,-0.137,-0.022,-0.011,-0.001
OMN,-0.003,-0.416,-0.416,-0.012,-0.001
FJI,-0.0,-0.0,0.0,0.0,-0.0
ETH,-0.0,-0.001,-0.002,-0.0,-0.0
ECU,16.087,21.296,2.451,0.303,0.016
CAF,0.005,-0.045,-0.035,-0.002,-0.0
AUS,-0.004,-0.004,-0.006,-0.002,-0.001
NOR,-0.004,-0.005,-0.002,-0.0,-0.0
CHN,-0.026,-0.054,-0.02,-0.009,-0.001
HUN,-0.08,-0.101,-0.024,-0.006,-0.001
BHR,18.779,23.994,1.565,0.249,0.014
BDI,0.0,0.0,0.0,0.0,0.0
PRI,-0.053,-0.068,-0.026,-0.018,-0.001
VUT,-0.02,-0.006,-0.011,-0.001,-0.0
CAN,-0.079,-0.097,-0.166,-0.045,-0.005
MOZ,0.0,0.014,0.002,0.0,0.0
ISL,-0.002,-0.003,-0.002,-0.0,-0.0
TUN,-0.013,-0.034,-0.003,-0.002,-0.0
ALB,-0.001,-0.001,-0.001,-0.0,-0.0
BGR,-0.199,-0.325,-0.099,-0.038,-0.001
SWE,-0.376,-0.486,-0.18,-0.026,-0.003
